- biased unbiased
0 19321 19461
1 25930 19301
2 25812 18993
3 25234 19415
4 25145 19234
5 24661 19313
6 24391 19432
7 24113 18861
8 23645 19130
9 22971 19258
10 22801 19027
11 22770 19195
12 22374 19073
13 22053 19084
14 21878 19006
15 21625 19166
16 21013 19265
17 20976 19230
18 20856 19403
19 20607 19073
20 20019 19287
21 19790 19246
22 19822 19433
23 19507 19202
24 19192 19382
25 18787 19469
26 18726 18937
27 18517 19307
28 18244 19462
29 17957 19182
30 17862 19365
31 17655 19051
32 17422 19262
33 17169 19235
34 17103 19528
35 16852 19489
36 16944 19045
37 16424 19191
38 16063 18993
39 16325 19516
40 16006 19283
41 15750 19055
42 15381 19210
43 15423 19102
44 15567 19239
45 15063 19250
46 15094 19258
47 14993 19023
48 14739 19354
49 14582 19121
50 14522 19285
51 14324 19318
