13400	Staten/Utbildning/forskning (universitet/högskola)
12300	Staten/Migration, integration, jämställdhet
10200	Staten/Infrastruktur
10000	Staten/Försvar
10000	Staten/Aktivitets- och sjukersättning (förtidspension)
8600	Staten/Rättsväsende
8400	Staten/Assistansersättning, tandvård, övrig hälsovård
8200	Staten/Föräldraförsäkring
8000	Staten/Övrigt
8000	Staten/Sjukpenning och rehabilitering
7800	Staten/Rikets styrelse, finansförvaltning, etc.
6500	Staten/Internationellt bistånd
6200	Staten/Avgift till EU
5800	Staten/A-kassa och aktivitetsstöd
5300	Staten/Garanti- och efterlevandepension
5300	Staten/Barnbidrag
4000	Staten/Studiestöd
3900	Staten/Övrigt, familj och barn
3500	Staten/Lönebidrag och Samhall
2800	Staten/Kultur, medier, fritid
2000	Staten/Övrigt, pensionärer
2000	Staten/Övrigt, arbetsmarknad/arbetsliv
1800	Staten/Arbetsmarknadpolitiska program
1700	Staten/Försäkringskassan
1700	Staten/Arbetsförmedlingen
1000	Staten/Handikappersättningar m.m.
600	Staten/Arbetsskadeersättningar m.m.
400	Staten/Statsskuldsräntor
53100	Ålderspensionen/Ålderspensionsavgift
36400	Ålderspensionen/Allmän pensionsavgift
42000	Kommunen/Grundskola inkl. förskoleklass
31900	Kommunen/Äldre och funktionshindrade
26700	Kommunen/Förskola och skolbarnsomsorg
10500	Kommunen/Gymnasieskola
5800	Kommunen/Övrig individ- och familjeomsorg
3700	Kommunen/Fysisk och teknisk planering, miljö, etc.
3500	Kommunen/Gator, vägar, parkering och parker
2700	Kommunen/Övrig utbildning
2700	Kommunen/Särskilt riktade insatser
2200	Kommunen/Politisk verksamhet (Kommun)
2100	Kommunen/Räddningstjänst
1300	Kommunen/Idrotts- och fritidsanläggningar
1200	Kommunen/Bibliotek
1000	Kommunen/Ekonomiskt bistånd (socialbidrag)
900	Kommunen/Fritidsgårdar, fritidsverksamhet
600	Kommunen/Övrig kulturverksamhet
200	Kommunen/Affärsverksamhet
33900	Landstinget/Specialiserad vård (ej psykiatrisk)
10500	Landstinget/Primärvård
9800	Landstinget/Trafik och infrastruktur
7200	Landstinget/Läkemedel öppenvård
6700	Landstinget/Övrig hälso- och sjukvård
6000	Landstinget/Specialiserad vård (psykiatrisk)
1900	Landstinget/Tandvård
800	Landstinget/kulturverksamhet
800	Landstinget/Utbildning och regional utveckling
600	Landstinget/Politisk verksamhet (Landsting)
100	Landstinget/Hemsjukvård
5200	Övrigt/Till andra kommuner och landsting
1500	Övrigt/Begravningsavgift
1300	Övrigt/Public service-avgift
